entry	name	size	called_interesting_symbols	string_refs	call_refs
10008a60	IPureServer::BanAddress	168	10008a6a->IPureServer::GetBannedClient | 10008ae0->IPureServer::BannedList_Save | 10008afa->IPureServer::BannedList_Save		3
10008b10	IPureServer::UnBanAddress	544	10008b28->IPureServer::GetBannedClient | 10008d23->IPureServer::BannedList_Save		2
10008d30	IPureServer::Print_Banned_Addreses	446			0
10008ef0	IPureServer::BannedList_Save	157	10008f68->IBannedClient::Save		1
10008f90	IPureServer::BannedList_Load	244	10009042->IBannedClient::Load		1
10009090	IPureServer::IpList_Load	26			0
100090b0	IPureServer::IpList_Unload	79			0
10009100	IPureServer::IsPlayerIPDenied	158			0
100091d0	IPureServer::UpdateBannedList	103			0
10009240	IPureServer::GetBannedListName	6			0
10009250	IPureServer::InsertNetworkMessageToQueue	210			0
10009330	IPureServer::ApplyRecievedNetworkMessages	290	10009416->MultipacketReciever::RecievePacket		1
10009da0	IPureSteamClient::IPureSteamClient	329	10009edb->g_pSteamHelper		1
10009ef0	IPureSteamClient::~IPureSteamClient	13			0
10009f00	IPureSteamClient::Connect	2031	10009f63->IPureSteamClient::GetAddressFromExternalService | 1000a032->CSteamHelper::InitSteam | 1000a03e->IPureClient::Disconnect | 1000a2af->PTR_SteamNetworkingIPAddr_ParseString_10015000 | 1000a2af->GAMENETWORKINGSOCKETS.DLL::SteamNetworkingIPAddr_ParseString | 1000a2d1->PTR_SteamNetworkingIPAddr_ToString_10015004 | 1000a2d1->GAMENETWORKINGSOCKETS.DLL::SteamNetworkingIPAddr_ToString | 1000a2fc->PTR_SteamNetworkingIPAddr_ParseString_10015000 | 1000a2fc->GAMENETWORKINGSOCKETS.DLL::SteamNetworkingIPAddr_ParseString | 1000a31e->PTR_SteamNetworkingIPAddr_ToString_10015004 | 1000a31e->GAMENETWORKINGSOCKETS.DLL::SteamNetworkingIPAddr_ToString | 1000a329->s_--_[IPureClient]_Connecting_to_s_10015f64 | 1000a367->IPureSteamClient::SteamNetConnectionStatusChangedCallback | 1000a42c->IPureClient::Disconnect | 1000a439->s_!!_[IPureClient]_Failed_to_creat_10015f90 | 1000a4d8->s_connect_10015fc0 | 1000a562->s_connect_10015fc0 | 1000a5d5->s_ServerAdmin_10015fc8 | 1000a5de->s_ServerAdmin_10015fc8	10015f64=-- [IPureClient] Connecting to server at %s | 10015f90=!! [IPureClient] Failed to create connection | 10015fc0=connect | 10015fc0=connect | 10015fc8=ServerAdmin | 10015fc8=ServerAdmin	19
1000a6f0	IPureSteamClient::Disconnect	434	1000a75a->s_~~~_Disconnect_10015fd4 | 1000a844->s_Disconnecting..._10015fe4	10015fd4=~~~ Disconnect | 10015fe4=Disconnecting...	2
1000a8b0	IPureSteamClient::Send	81			0
1000a910	IPureSteamClient::OnSteamNetConnectionStatusChanged	257	1000a920->s_----_OnSteamNetConnectionStatusC_10015ff8 | 1000a97e->s_connect_10015fc0 | 1000a9a0->s_!!_[IPureClient]_Connection_clos_10016024 | 1000a9dc->s_!!_[IPureClient]_A_problem_occur_10016054	10015ff8=---- OnSteamNetConnectionStatusChanged: %u | 10015fc0=connect | 10016024=!! [IPureClient] Connection closed by Peer %s | 10016054=!! [IPureClient] A problem occurred %s	4
1000aa30	IPureSteamClient::RunCallbacks	36	1000aa33->IPureSteamClient::s_pCallbackInstance		1
1000aa60	IPureSteamClient::net_Handler	413	1000ab61->IPureSteamClient::HandleNetDescription | 1000ab87->MultipacketReciever::RecievePacket		2
1000ac00	IPureSteamClient::HandleNetDescription	319		1001607c=--- Received map name from server: %s | 100160a4=--- Received addon name from server: %s	0
1000ad40	IPureSteamClient::GetAddressFromExternalService	153			0
1000ade0	IPureSteamClient::GetServerAddress	301	1000ae08->IPureSteamClient::GetAddressFromExternalService		1
1000af10	IPureSteamClient::GetServerSteamID	13			0
1000af20	IPureSteamClient::UpdateStats	142			0
1000afb0	IPureSteamClient::SetGlobalConfigValueInt32	41			0
1000b190	FUN_1000b190	186	1000b1cd->IPureSteamClient::s_pCallbackInstance | 1000b1ef->IPureSteamClient::net_Handler		2
1000b600	IPureSteamServer::IPureSteamServer	333	1000b73c->g_pSteamHelper		1
1000b750	IPureSteamServer::~IPureSteamServer	60			0
1000b790	IPureSteamServer::Connect	721	1000b7f0->CSteamHelper::InitSteam | 1000b8d1->IPureSteamServer::SteamNetConnectionStatusChangedCallback | 1000b922->s_!!_[IPureServer]_Failed_to_liste_1001612c | 1000b94e->s_!!_[IPureServer]_to_listen_on_po_1001615c | 1000b978->PTR_SteamNetworkingIPAddr_ToString_10015004 | 1000b978->GAMENETWORKINGSOCKETS.DLL::SteamNetworkingIPAddr_ToString | 1000b98d->s_~~_[IPureServer]_Server_listenin_10016184 | 1000b997->psNET_direct_connect | 1000b9a3->IPureServer::BannedList_Load | 1000b9c1->IPureSteamServer::s_pCallbackInstance | 1000b9f7->s_steam-update-sv-sync_100161c0	1001612c=!! [IPureServer] Failed to listen on port %d | 1001615c=!! [IPureServer] to listen on port %d | 10016184=~~ [IPureServer] Server listening with IP %s on port %d  | 100161c0=steam-update-sv-sync	11
1000ba70	IPureSteamServer::Disconnect	156	1000ba84->s_*_[IPureServer]_Closing_connecti_100161d8 | 1000ba9e->IPureSteamServer::DisconnectAllClients	100161d8=* [IPureServer] Closing connections...	2
1000bb10	IPureSteamServer::OnSteamNetConnectionStatusChanged	127	1000bb43->IPureSteamServer::DisconnectClient | 1000bb56->s_*_[IPureServer]_Connection_reque_10016208 | 1000bb67->IPureSteamServer::HandleConnection | 1000bb7a->s_*_[IPureServer]_Connection_finis_10016234	10016208=* [IPureServer] Connection request from %s | 10016234=* [IPureServer] Connection finished %s	4
1000bbb0	IPureSteamServer::RunCallbacks	20	1000bbb0->IPureSteamServer::s_pCallbackInstance		1
1000bbd0	IPureSteamServer::net_Handler	370	1000bc34->IPureSteamServer::HandleHandshake | 1000bd01->IPureServer::InsertNetworkMessageToQueue		2
1000bd50	IPureSteamServer::HandleAwaitingConnections	201	1000bd7a->s_*_[IPureServer]_Client_%s_finish_1001625c | 1000bd91->IPureSteamServer::FinishConnection	1001625c=* [IPureServer] Client %s finishing connection after SV CL...	2
1000be20	IPureSteamServer::HandleConnection	267	1000be3d->s_*_[IPureServer]_Can't_accept_con_100162a0 | 1000be59->IPureSteamServer::CloseConnection | 1000be76->s_!!_[IPureServer]_Client_tried_to_100162f4 | 1000be92->IPureSteamServer::CloseConnection | 1000beaa->s_!!_[IPureServer]_Client_tried_to_10016348 | 1000bec7->s_*_[IPureServer]_Failed_to_set_po_10016384 | 1000beee->IPureSteamServer::GetClientAddress | 1000befa->IPureServer::GetBannedClient | 1000bf03->s_*_[IPureServer]_Banned_by_the_Se_100163c4 | 1000bf1f->IPureSteamServer::CloseConnection	100162a0=* [IPureServer] Can't accept connection. (It was already closed?) | 100162f4=!! [IPureServer] Client tried to send too BIG PACKET, %s | 10016348=!! [IPureServer] Client tried to send too SMALL PACKET, %s | 10016384=* [IPureServer] Failed to set poll group? | 100163c4=* [IPureServer] Banned by the Server | 100163ec=You have been banned by the Server	10
1000bf30	IPureSteamServer::HandleHandshake	609	1000c03d->IPureSteamServer::CloseConnection | 1000c174->IPureSteamServer::FinishConnection		2
1000c1a0	IPureSteamServer::FinishConnection	230			0
1000c290	IPureSteamServer::Update	121	1000c2da->IPureSteamServer::s_pCallbackInstance | 1000c2f0->IPureSteamServer::net_Handler		2
1000c310	IPureSteamServer::SendTo	22			0
1000c330	IPureSteamServer::DisconnectClient	188	1000c3a0->s_*_Attempt_to_disconnect_server_c_10016424 | 1000c3aa->s_!_Steam_internal_error_10016454 | 1000c3e0->IPureSteamServer::CloseConnection	10016424=* Attempt to disconnect server client [%u][%s] | 10016454=! Steam internal error	3
1000c3f0	IPureSteamServer::DisconnectAllClients	333			0
1000c540	IPureSteamServer::CloseConnection	248			0
1000c640	IPureSteamServer::DestroyClient	103			0
1000c6b0	IPureSteamServer::GetClientAddress	212	1000c703->PTR_SteamNetworkingIPAddr_ToString_10015004 | 1000c703->GAMENETWORKINGSOCKETS.DLL::SteamNetworkingIPAddr_ToString		2
1000c790	IPureSteamServer::GetClientAddress	177	1000c7c3->PTR_SteamNetworkingIPAddr_ToString_10015004 | 1000c7c3->GAMENETWORKINGSOCKETS.DLL::SteamNetworkingIPAddr_ToString		2
1000c850	IPureSteamServer::GetClientSteamID	109			0
1000c8c0	IPureSteamServer::GetClientPendig	45			0
1000c8f0	IPureSteamServer::GetClientStatistic	47			0
1000c920	IPureSteamServer::HasClient	98			0
1000d160	FUN_1000d160	60	1000d17b->IPureSteamServer::Update		1
1000d1a0	NET_Compressor::operator=	238			0
1000d290	IClientStatistic::getBPS	4			0
1000d2a0	IClientStatistic::getDroppedCount	4			0
1000d2b0	IClientStatistic::getRetriedCount	4			0
1000d2c0	IClientStatistic::getMPS_Receive	4			0
1000d2d0	IClientStatistic::getMPS_Send	4			0
1000d2e0	IClientStatistic::getReceivedPerSec	7			0
1000d2f0	IClientStatistic::getSendedPerSec	7			0
1000d300	IClientStatistic::getConnQuality	4			0
1000d310	IClientStatistic::operator=	25			0
1000d330	IClientStatistic::operator=	121			0
1000de20	FUN_1000de20	277	1000df0e->PTR___std_exception_destroy_10015110 | 1000df0e->VCRUNTIME140.DLL::__std_exception_destroy		2
1000df40	FUN_1000df40	248	1000e027->PTR___std_exception_destroy_10015110 | 1000e027->VCRUNTIME140.DLL::__std_exception_destroy		2
1000e940	CSteamHelper::~CSteamHelper	258	1000e944->CSteamHelper::ClearAvatarCache		1
1000ea50	CSteamHelper::Load	455	1000ea59->s_GameNetworkingSockets.dll_10016498 | 1000ea5e->s_steam_api.dll_10016488 | 1000ea66->s_GameNetworkingSockets.dll_10016498 | 1000ea66->s_steam_api.dll_10016488 | 1000ea88->s_CSteamHelper::Load_100164b4 | 1000eab3->s_SteamAPI_InitFlat_10016514 | 1000eabb->s_SteamAPI_Shutdown_10016528 | 1000eac8->s_SteamAPI_SteamNetworkingSockets__1001653c | 1000ead5->s_SteamAPI_SteamNetworkingUtils_St_1001656c | 1000eae2->s_SteamAPI_SteamUtils_v010_10016598 | 1000eaef->s_SteamAPI_ISteamUtils_GetImageSiz_100165b4 | 1000eafc->s_SteamAPI_ISteamUtils_GetImageRGB_100165d8 | 1000eb09->s_SteamAPI_ISteamUtils_GetCurrentB_100165fc | 1000eb16->s_SteamAPI_RunCallbacks_10016628 | 1000eb23->s_SteamClient_10016640 | 1000eb30->s_SteamAPI_SteamFriends_v018_1001664c | 1000eb3d->s_SteamAPI_SteamUser_v023_10016668 | 1000eb4a->s_SteamAPI_ISteamUser_GetSteamID_10016680 | 1000eb57->s_SteamAPI_ISteamFriends_SetRichPr_100166a0 | 1000eb67->s_SteamAPI_ISteamFriends_SetPlayed_100166c8 | 1000eb74->s_SteamAPI_ISteamFriends_GetSmallF_100166f0 | 1000eb81->s_SteamAPI_ISteamFriends_GetMedium_1001671c | 1000eb8e->s_SteamAPI_ISteamFriends_GetLargeF_1001674c | 1000eb9b->s_SteamAPI_ISteamFriends_RequestUs_10016778 | 1000ebab->s_SteamAPI_ISteamNetworkingUtils_S_100167a8 | 1000ebc1->s_SteamAPI_RegisterCallback_100167e0 | 1000ebcb->s_SteamAPI_UnregisterCallback_100167fc | 1000ebe2->s_GameNetworkingSockets_Init_10016818 | 1000ebea->s_SteamNetworkingSockets_LibV12_10016834 | 1000ebf7->s_SteamAPI_SteamNetworkingUtils_v0_10016854	10016498=GameNetworkingSockets.dll | 10016488=steam_api.dll | 10016498=GameNetworkingSockets.dll | 10016488=steam_api.dll | 100164b4=CSteamHelper::Load | 100164c8=G:\xrMPE\GIT\xray16_xrMPE\xray\xrNetServer\SteamHelper.cpp | 10016514=SteamAPI_InitFlat | 10016528=SteamAPI_Shutdown | 1001653c=SteamAPI_SteamNetworkingSockets_SteamAPI_v012 | 1001656c=SteamAPI_SteamNetworkingUtils_SteamAPI_v004 | 10016598=SteamAPI_SteamUtils_v010 | 100165b4=SteamAPI_ISteamUtils_GetImageSize | 100165d8=SteamAPI_ISteamUtils_GetImageRGBA | 100165fc=SteamAPI_ISteamUtils_GetCurrentBatteryPower | 10016628=SteamAPI_RunCallbacks | 10016640=SteamClient | 1001664c=SteamAPI_SteamFriends_v018 | 10016668=SteamAPI_SteamUser_v023 | 10016680=SteamAPI_ISteamUser_GetSteamID | 100166a0=SteamAPI_ISteamFriends_SetRichPresence	31
1000ec20	CSteamHelper::InitSteam	311	1000ec2e->CSteamHelper::ClearAvatarCache | 1000ec9a->CSteamHelper::OnJoinRequested | 1000ecd2->CSteamHelper::OnPersonaStateChanged | 1000ed0a->CSteamHelper::OnAvatarLoaded | 1000ed3e->s_!_Cannot_initialize_Steam_Librar_10016894	10016894=! Cannot initialize Steam Library: %s	5
1000ed60	CSteamHelper::ShutdownSteam	27			0
1000ed80	CSteamHelper::RunCallbacks	13			0
1000ed90	CSteamHelper::Kill	5			0
1000eda0	CSteamHelper::OnJoinRequested	94			0
1000ee00	CSteamHelper::OnPersonaStateChanged	141	1000ee52->CSteamHelper::UpdateTemporaryAvatar		1
1000ee90	CSteamHelper::OnAvatarLoaded	67	1000eea5->CSteamHelper::UpdateTemporaryAvatar		1
1000eee0	CSteamHelper::SteamNetworkingSockets	5			0
1000eef0	CSteamHelper::SteamNetworkingUtils	5			0
1000ef00	CSteamHelper::SetRichPresence	40			0
1000ef30	CSteamHelper::SetPlayedWith	42			0
1000ef60	CSteamHelper::GetSmallFriendAvatar	57			0
1000efa0	CSteamHelper::GetMediumFriendAvatar	57			0
1000efe0	CSteamHelper::GetLargeFriendAvatar	60			0
1000f020	CSteamHelper::GetImageSize	43			0
1000f050	CSteamHelper::GetImageRGBA	43			0
1000f080	CSteamHelper::RequestUserInfo	205			0
1000f150	CSteamHelper::SaveTemporaryAvatar	1182	1000f175->CSteamHelper::GetTemporaryAvatarTextureName | 1000f1ec->g_pSteamHelper | 1000f2b6->g_pSteamHelper | 1000f2f8->CSteamHelper::TryRemoveTemporaryAvatar		4
1000f5f0	CSteamHelper::ClearAvatarCache	326			0
1000f750	CSteamHelper::UpdateTemporaryAvatar	3772	1000f77b->CSteamHelper::GetTemporaryAvatarTextureName | 1000f7db->CSteamHelper::GetTemporaryAvatarTextureName | 1000f831->CSteamHelper::GetTemporaryAvatarTextureName | 1000f887->CSteamHelper::GetTemporaryAvatarTextureName | 1000f8dd->g_pSteamHelper | 1000f9a6->g_pSteamHelper | 1000f9e7->CSteamHelper::TryRemoveTemporaryAvatar | 1000fcca->CSteamHelper::GetTemporaryAvatarTextureName | 1000fd02->g_pSteamHelper | 1000fdcb->g_pSteamHelper | 1000fe0c->CSteamHelper::TryRemoveTemporaryAvatar | 10010154->CSteamHelper::GetTemporaryAvatarTextureName | 1001018c->g_pSteamHelper | 10010255->g_pSteamHelper | 10010296->CSteamHelper::TryRemoveTemporaryAvatar		15
10010610	CSteamHelper::TryRemoveTemporaryAvatar	114	1001062a->CSteamHelper::GetTemporaryAvatarTextureName		1
10010690	CSteamHelper::GetTemporaryAvatarTextureName	619			0
10010900	CSteamHelper::SaveOrRequestTemporaryAvatars	3576	10010936->CSteamHelper::GetTemporaryAvatarTextureName | 10010996->g_pSteamHelper | 10010a5f->g_pSteamHelper | 10010aa0->CSteamHelper::TryRemoveTemporaryAvatar | 10010d6b->CSteamHelper::GetTemporaryAvatarTextureName | 10010da3->g_pSteamHelper | 10010e6c->g_pSteamHelper | 10010ead->CSteamHelper::TryRemoveTemporaryAvatar | 100111be->CSteamHelper::GetTemporaryAvatarTextureName | 100111f6->g_pSteamHelper | 100112bf->g_pSteamHelper | 10011300->CSteamHelper::TryRemoveTemporaryAvatar | 100116b0->g_pSteamHelper | 100116be->CSteamHelper::RequestUserInfo		14
10011700	CSteamHelper::GetSteamID	83			0
10011760	CSteamHelper::GetCurrentBatteryPower	63			0
10012a50	FUN_10012a50	49	10012a60->PTR___std_exception_destroy_10015110 | 10012a60->VCRUNTIME140.DLL::__std_exception_destroy		2
100132ee	___scrt_dllmain_crt_thread_attach	31	100132ee->IPureServer::OnCL_QueryHost | 100132fa->IPureServer::OnCL_QueryHost | 10013303->IPureServer::OnCL_QueryHost		3
1001330d	___scrt_dllmain_crt_thread_detach	13	1001330d->IPureServer::OnCL_QueryHost | 10013312->IPureServer::OnCL_QueryHost		2
10013371	FUN_10013371	13	10013373->IPureServer::OnCL_QueryHost | 10013379->IPureServer::OnCL_QueryHost		2
1001337e	___scrt_initialize_crt	57	10013393->IPureServer::OnCL_QueryHost | 100133a0->IPureServer::OnCL_QueryHost | 100133ab->IPureServer::OnCL_QueryHost		3
100134ef	___scrt_uninitialize_crt	40	10013504->IPureServer::OnCL_QueryHost | 1001350c->IPureServer::OnCL_QueryHost		2
10013e6a	FUN_10013e6a	12	10013e6f->VCRUNTIME140.DLL::__std_type_info_destroy_list		1
1001402d	VCRUNTIME140.DLL::__std_type_info_destroy_list	6	1001402d->PTR___std_type_info_destroy_list_100150fc | 1001402d->VCRUNTIME140.DLL::__std_type_info_destroy_list		2
